refperiodid,freqcode,typecode,refyear,refmonth,reporteriso,reporterdesc,partneriso,partnerdesc,classificationcode,aggrlevel,isleaf,moscode,motcode,flowcode,cmdcode,cmddesc,qty,netwgt,cifvalue,fobvalue,primaryvalue,isreported
20080101,A,C,2008,52,RUS,Russian Federation,ESP,Spain,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,4242984571.0,0.0,4242984571.0,True
20080101,A,C,2008,52,RUS,Russian Federation,ESP,Spain,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,5060891800.0,5060891800.0,True
20080101,A,C,2008,52,SAU,Saudi Arabia,ESP,Spain,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,1300739226.0,0.0,1300739226.0,True
20080101,A,C,2008,52,SAU,Saudi Arabia,ESP,Spain,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,331095614.0,331095614.0,True
20080101,A,C,2008,52,NLD,Netherlands,CHE,Switzerland,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,3041729012.0,0.0,3041729012.0,True
20080101,A,C,2008,52,NLD,Netherlands,CHE,Switzerland,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,7297604191.0,7297604191.0,True
20080101,A,C,2008,52,NGA,Nigeria,CHE,Switzerland,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,882803363.0,0.0,882803363.0,True
20080101,A,C,2008,52,NGA,Nigeria,CHE,Switzerland,H2,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,181316887.0,181316887.0,True
20080101,A,C,2008,52,RUS,Russian Federation,CHE,Switzerland,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,2392119232.0,0.0,2392119232.0,True
20080101,A,C,2008,52,NGA,Nigeria,GBR,United Kingdom,H2,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,1228092466.0,0.0,1228092466.0,True
20080101,A,C,2008,52,NLD,Netherlands,GBR,United Kingdom,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,49490834615.0,49490834615.0,True
20080101,A,C,2008,52,NLD,Netherlands,GBR,United Kingdom,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,31272700755.0,0.0,31272700755.0,True
20080101,A,C,2008,52,SAU,Saudi Arabia,ARE,United Arab Emirates,H3,0,False,0,0,X,TOTAL,All Commodities,0.0,0.0,0.0,4585692132.0,4585692132.0,True
20080101,A,C,2008,52,SAU,Saudi Arabia,ARE,United Arab Emirates,H3,0,False,0,0,M,TOTAL,All Commodities,0.0,0.0,2820259259.0,0.0,2820259259.0,True
