Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value (US$),Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2009,X,Australia,Spain,World,TOTAL CPC,TOTAL MOT,TOTAL,"$305,891,552",0,0,N/A,0,N/A,0
2009,M,Belgium,Spain,World,TOTAL CPC,TOTAL MOT,TOTAL,"$7,177,279,150",0,0,N/A,0,N/A,0
2009,X,Belgium,Spain,World,TOTAL CPC,TOTAL MOT,TOTAL,"$12,082,044,985",0,0,N/A,0,N/A,0
2009,M,Brazil,Spain,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,041,803,502",0,0,N/A,0,N/A,0
2009,X,Brazil,Spain,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,663,279,358",0,0,N/A,0,N/A,0
2009,M,Australia,Switzerland,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,991,875,193",0,0,N/A,0,N/A,0
2009,X,Australia,Switzerland,World,TOTAL CPC,TOTAL MOT,TOTAL,"$392,816,631",0,0,N/A,0,N/A,0
2009,M,Belgium,Switzerland,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,634,297,546",0,0,N/A,0,N/A,0
2009,X,Belgium,Switzerland,World,TOTAL CPC,TOTAL MOT,TOTAL,"$4,383,647,249",0,0,N/A,0,N/A,0
2009,M,Brazil,Switzerland,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,099,977,646",0,0,N/A,0,N/A,0
2009,X,Brazil,Switzerland,World,TOTAL CPC,TOTAL MOT,TOTAL,"$1,107,555,655",0,0,N/A,0,N/A,0
2009,M,Australia,United Kingdom,World,TOTAL CPC,TOTAL MOT,TOTAL,"$5,044,259,764",0,0,N/A,0,N/A,0
2009,X,Australia,United Kingdom,World,TOTAL CPC,TOTAL MOT,TOTAL,"$7,076,845,041",0,0,N/A,0,N/A,0
2009,M,Belgium,United Kingdom,World,TOTAL CPC,TOTAL MOT,TOTAL,"$18,804,977,797",0,0,N/A,0,N/A,0
2009,X,Belgium,United Kingdom,World,TOTAL CPC,TOTAL MOT,TOTAL,"$26,466,014,197",0,0,N/A,0,N/A,0
2009,M,Brazil,United Kingdom,World,TOTAL CPC,TOTAL MOT,TOTAL,"$2,484,091,439",0,0,N/A,0,N/A,0
2009,X,Brazil,United Kingdom,World,TOTAL CPC,TOTAL MOT,TOTAL,"$3,725,192,332",0,0,N/A,0,N/A,0
