typecode,refyear,reporteriso,reporterdesc,partneriso,partnerdesc,flowcode,cmdcode,cmddesc,qty,netwgt,cifvalue,fobvalue,primaryvalue,isreported
C,2008,SAU,Saudi Arabia,CHN,China,X,TOTAL,All Commodities,0.0,0.0,0,2130873864,2130873864,True
C,2008,NLD,Netherlands,FRA,France,M,TOTAL,All Commodities,0.0,0.0,24876047227,0,24876047227,True
C,2008,NLD,Netherlands,FRA,France,X,TOTAL,All Commodities,0.0,0.0,0,47707807272,47707807272,True
C,2008,NGA,Nigeria,FRA,France,M,TOTAL,All Commodities,0.0,0.0,1331763617,0,1331763617,True
C,2008,NGA,Nigeria,FRA,France,X,TOTAL,All Commodities,0.0,0.0,0,3370602476,3370602476,True
C,2008,RUS,Russian Federation,FRA,France,M,TOTAL,All Commodities,0.0,0.0,10066091522,0,10066091522,True
C,2008,RUS,Russian Federation,FRA,France,X,TOTAL,All Commodities,0.0,0.0,0,12282139219,12282139219,True
C,2008,SAU,Saudi Arabia,FRA,France,M,TOTAL,All Commodities,0.0,0.0,3800389017,0,3800389017,True
C,2008,SAU,Saudi Arabia,FRA,France,X,TOTAL,All Commodities,0.0,0.0,0,267643801,267643801,True
C,2008,NLD,Netherlands,DEU,Germany,M,TOTAL,All Commodities,0.0,0.0,95216953963,0,95216953963,True
C,2008,NLD,Netherlands,DEU,Germany,X,TOTAL,All Commodities,0.0,0.0,0,133509594526,133509594526,True
C,2008,NGA,Nigeria,CHN,China,X,TOTAL,All Commodities,0.0,0.0,0,268092957,268092957,True
C,2008,NGA,Nigeria,DEU,Germany,M,TOTAL,All Commodities,0.0,0.0,1907004967,0,1907004967,True
C,2008,RUS,Russian Federation,DEU,Germany,M,TOTAL,All Commodities,0.0,0.0,34075574753,0,34075574753,True
C,2008,RUS,Russian Federation,DEU,Germany,X,TOTAL,All Commodities,0.0,0.0,0,33187251589,33187251589,True
C,2008,SAU,Saudi Arabia,DEU,Germany,M,TOTAL,All Commodities,0.0,0.0,8432226807,0,8432226807,True
C,2008,SAU,Saudi Arabia,DEU,Germany,X,TOTAL,All Commodities,0.0,0.0,0,209260528,209260528,True
C,2008,NLD,Netherlands,HKG,"China, Hong Kong SAR",M,TOTAL,All Commodities,0.0,0.0,2584455975,0,2584455975,True
C,2008,NLD,Netherlands,HKG,"China, Hong Kong SAR",X,TOTAL,All Commodities,0.0,0.0,0,1607061264,1607061264,True
C,2008,NGA,Nigeria,HKG,"China, Hong Kong SAR",M,TOTAL,All Commodities,0.0,0.0,603826786,0,603826786,True
C,2008,NGA,Nigeria,HKG,"China, Hong Kong SAR",X,TOTAL,All Commodities,0.0,0.0,0,227009488,227009488,True
C,2008,RUS,Russian Federation,HKG,"China, Hong Kong SAR",M,TOTAL,All Commodities,0.0,0.0,56330727,0,56330727,True
C,2008,RUS,Russian Federation,HKG,"China, Hong Kong SAR",X,TOTAL,All Commodities,0.0,0.0,0,366068798,366068798,True
C,2008,SAU,Saudi Arabia,HKG,"China, Hong Kong SAR",M,TOTAL,All Commodities,0.0,0.0,52786733,0,52786733,True
C,2008,SAU,Saudi Arabia,HKG,"China, Hong Kong SAR",X,TOTAL,All Commodities,0.0,0.0,0,285059290,285059290,True
C,2008,NLD,Netherlands,ITA,Italy,M,TOTAL,All Commodities,0.0,0.0,11731991386,0,11731991386,True
C,2008,NLD,Netherlands,ITA,Italy,X,TOTAL,All Commodities,0.0,0.0,0,28894468858,28894468858,True
C,2008,NGA,Nigeria,DEU,Germany,X,TOTAL,All Commodities,0.0,0.0,0,1265555971,1265555971,True
C,2008,NGA,Nigeria,CHN,China,M,TOTAL,All Commodities,0.0,0.0,4292323788,0,4292323788,True
C,2008,NLD,Netherlands,CHN,China,X,TOTAL,All Commodities,0.0,0.0,0,5676591072,5676591072,True
