typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","76","BRA","Brazil","X","Export","276","DEU","Germany","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"6550768678","6550768678","4","false","true",
"C","A","20130101","2013","52","2013","36","AUS","Australia","M","Import","344","HKG","China, Hong Kong SAR","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"1173728586","1173728586","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"2466223395","2466223395","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","M","Import","344","HKG","China, Hong Kong SAR","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","1412629319.83","0","1412629319.83","4","false","true",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","2949944620.226","2949944620.226","4","false","true",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","M","Import","344","HKG","China, Hong Kong SAR","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","897122326","841891912","897122326","4","false","true",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","X","Export","344","HKG","China, Hong Kong SAR","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"3336338886","3336338886","4","false","true",
"C","A","20130101","2013","52","2013","36","AUS","Australia","M","Import","380","ITA","Italy","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"5536386463","5536386463","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","380","ITA","Italy","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"666176798","666176798","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","M","Import","380","ITA","Italy","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","10391452298.046","0","10391452298.046","4","false","true",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","380","ITA","Italy","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","11764146517.289","11764146517.289","4","false","true",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","M","Import","380","ITA","Italy","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","7036301602","6718137984","7036301602","4","false","true",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","X","Export","380","ITA","Italy","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false",,"4097946834","4097946834","4","false","true",
"C","A","20130101","2013","52","2013","36","AUS","Australia","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"17946305287","17946305287","0","true","false",
"C","A","20130101","2013","52","2013","36","AUS","Australia","X","Export","392","JPN","Japan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false",,"31251833517","31251833517","0","true","false",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","6711214106.267","0","6711214106.267","4","false","true",
"C","A","20130101","2013","52","2013","56","BEL","Belgium","X","Export","392","JPN","Japan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","0","2518158174.424","2518158174.424","4","false","true",
"C","A","20130101","2013","52","2013","76","BRA","Brazil","M","Import","392","JPN","Japan","0","W00","World","H4","HS","true","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","7363312131","7081393270","7363312131","4","false","true",
